Date,Close,Return
2009-01-01,1.2201,0.106662
2009-01-02,1.205,-1.237603
2009-01-05,1.189,-1.327801
2009-01-06,1.1842,-0.403701
2009-01-07,1.194,0.827563
2009-01-08,1.1797,-1.197655
2009-01-09,1.1853,0.474697
2009-01-12,1.2184,2.792542
2009-01-13,1.2243,0.484242
2009-01-14,1.2491,2.025647
2009-01-15,1.2527,0.288208
2009-01-16,1.2431,-0.766345
2009-01-19,1.2539,0.868796
2009-01-20,1.267,1.04474
2009-01-21,1.2551,-0.939227
2009-01-22,1.2547,-0.03187
2009-01-23,1.2311,-1.880928
2009-01-26,1.2226,-0.690439
2009-01-27,1.2306,0.654343
2009-01-28,1.2109,-1.600845
2009-01-29,1.2267,1.304815
2009-01-30,1.2296,0.236407
2009-02-02,1.2449,1.244307
2009-02-03,1.2296,-1.229014
2009-02-04,1.2323,0.219584
2009-02-05,1.2323,0.0
2009-02-06,1.2193,-1.054938
2009-02-09,1.2174,-0.155827
2009-02-10,1.2438,2.168556
2009-02-11,1.2383,-0.442193
2009-02-12,1.2438,0.444157
2009-02-13,1.2354,-0.67535
2009-02-16,1.2426,0.582807
2009-02-17,1.2654,1.834862
2009-02-18,1.2609,-0.355619
2009-02-19,1.258,-0.229994
2009-02-20,1.252,-0.476948
2009-02-23,1.2503,-0.135783
2009-02-24,1.2423,-0.639846
2009-02-25,1.2572,1.199388
2009-02-26,1.2536,-0.286351
2009-02-27,1.2763,1.810785
2009-03-02,1.2934,1.33981
2009-03-03,1.293,-0.030926
2009-03-04,1.2731,-1.539056
2009-03-05,1.2911,1.413872
2009-03-06,1.2872,-0.302068
2009-03-09,1.3012,1.087632
2009-03-10,1.279,-1.706117
2009-03-11,1.2851,0.476935
2009-03-12,1.2778,-0.568049
2009-03-13,1.2718,-0.469557
2009-03-16,1.2719,0.007863
2009-03-17,1.2701,-0.141521
2009-03-18,1.2467,-1.842375
2009-03-19,1.2396,-0.569503
2009-03-20,1.2407,0.088738
2009-03-23,1.2217,-1.531394
2009-03-24,1.2321,0.851273
2009-03-25,1.2319,-0.016232
2009-03-26,1.2305,-0.113646
2009-03-27,1.2421,0.942706
2009-03-30,1.2624,1.634329
2009-03-31,1.2602,-0.174271
2009-04-01,1.26,-0.01587
2009-04-02,1.2376,-1.777778
2009-04-03,1.2298,-0.630252
2009-04-06,1.2382,0.683038
2009-04-07,1.2372,-0.080762
2009-04-08,1.2364,-0.064662
2009-04-09,1.2237,-1.027176
